CROSS_STREET_NAME1,CROSS_STREET_NAME2,CROSSWALK_TYPE,CROSSWALK_COMP,NUMBER_OF_CROSSWALKS,MATERIAL,DIRECTION,POINT
KINCORA GLEN RD NW,37 ST NW,RSM,STOP LINE,1,PAINT,N,POINT (-114.14118065518177 51.16509019327954)
WOODVIEW DR SW,WOODPARK WAY SW,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.10678019806019 50.94154230597615)
VALLEY RIDGE DR NW,VALLEY CREEK RD NW,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.25896825358164 51.09077686070436)
64 AVE NE,MALL ENTRANCE,SIGNALIZED,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.03645539632674 51.108461699511025)
17 AVE SW,GLENSIDE DR SW,REGULAR,STOP LINE,1,PAINT,S,POINT (-114.16004314002589 51.0385331901009)
AUBURN BAY BLVD SE,AUTUMN CR SE,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-113.96748268935819 50.89618457932035)
ABBEYDALE DR NE,ABOYNE WAY NE,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-113.93186828245042 51.060069941782864)
11 AVE SW,OLYMPIC WAY SE,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.05340222832875 51.04210601600457)
SOUTHPORT RD SW,SOUTHPORT WAY SW,SIGNALIZED,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-114.07294856577559 50.957773204827696)
13 AVE SW,11 ST SW,SCHOOL,STOP LINE,2,PAINT,EW,POINT (-114.08899700645286 51.04120315248929)
112 AVE NW,76 ST,SIGNALIZED,STOP LINE,4,PAINT,NSEW,POINT (-114.19659083810556 51.15417751378885)
36 ST NE,WHITEHORN DR NE,SIGNAL,RIGHT TURN,1,PAINT,E,POINT (-113.98174201236864 51.08493097024764)
SILVERGROVE DR NW,78 ST NW,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.20001546444958 51.11658125467047)
BRIDLEWOOD DR SW,S OF 200 BRIDLEWOOD PL SW,MIDBLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.09935975230309 50.901155481366914)
16 AVE NW,44 ST NW,CORRIDOR,LADDER CROSSWALK,1,PAINT,S,POINT (-114.15957241828293 51.06908728476502)
DISCOVERY RIDGE BLVD SW,DISCOVERY RIDGE LANE,RSM,STOP LINE,2,PAINT,NS,POINT (-114.21397017875749 51.01521681021723)
COUNTRY HILLS BLVD NW,COUNTRY HILLS GOLF CLUB,RSM,STOP LINE,1,PAINT,N,POINT (-114.08391051924627 51.146069283130274)
FALCONRIDGE DR NE,FALWOOD WAY / EAST LEG,SCHOOL,LADDER CROSSWALK,2,PAINT,EW,POINT (-113.93915787225555 51.10081935821479)
SADDLELAKE DR NE,SADDLEBROOK DR NE,SCHOOL,LADDER CROSSWALK,1,PAINT,S,POINT (-113.92994254382187 51.13217775760121)
CEDARILLE DR SW,CEDARILLLE CR SW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.13610520826441 50.958202057996765)
27 ST SE,BARLOW TR SE,REGULAR,RIGHT TURN,1,PAINT,W,POINT (-113.99553550027592 51.037856802314565)
SCENIC ACRES BLVD NW,SCURFIELD WAY NW,SCHOOL,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.21466037725459 51.11935201827165)
20 AVE NW,MACKAY RD NW,SCHOOL,LADDER CROSSWALK,2,PAINT,NS,POINT (-114.15281370379034 51.0696753319969)
17 AVE SE,84 ST SE,SIGNALIZED,RIGHT TURN,2,PAINT,NW,POINT (-113.90767286543048 51.037872990539945)
LAKEVIEW DR SW,LANCASTER WAY SW,SCHOOL,LADDER CROSSWALK,3,PAINT,NSE,POINT (-114.13302220368529 50.9986659642952)
STRATHCONA DR SW,STRATHLEA CRESCENT SW,SCHOOL,LADDER CROSSWALK,2,PAINT,SE,POINT (-114.20664972913477 51.050628904241876)
CANYON MEADOWS DR SE,LAKE FRASER DR SE,SIGNAL,STOP LINE,4,PAINT,NSEW,POINT (-114.0659936602662 50.930459297129126)
BLACKFOOT TR SE,HIGHFIELD RD SE,SIGNAL,STOP LINE,3,PAINT,NSW,POINT (-114.04789518803685 51.02092953690688)
COVENTRY HILLS WAY NE,COVENTRY DR NE,SCHOOL,LADDER CROSSWALK,3,PAINT,SEW,POINT (-114.04318172663339 51.16551506620026)
SUNCASTLE DR SE,SUNHAVEN CLOSE,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.0324847582759 50.90228838724418)
CITADEL DR NW,CITADEL WAY NW,MULTIWAY STOP,STOP LINE,3,PAINT,NSW,POINT (-114.18171605103149 51.14652006182963)
26 AVE NE,RUNDLEHILL DR WEST LEG,SCHOOL,LADDER CROSSWALK,2,MMA,SW,POINT (-113.9699017715053 51.078108379613965)
9 AVE SW,2 ST SW,DOWNTOWN,REGULAR CROSSWALK,3,MMA,NEW,POINT (-114.06805658221772 51.04476359681539)
12 AVE SE,34 ST SE,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-113.98461050069653 51.04246325375159)
29 ST SW,33 AV SW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.12953673634335 51.02519210851285)
12 AVE SW,12 ST SW,DOWNTOWN,STOP LINE,3,MMA,NSW,POINT (-114.0913779291483 51.0422225506228)
26 ST SE,19 AVE SE,RSM,REGULAR CROSSWALK,2,PAINT,SE,POINT (-113.99577150623324 51.03592526815)
WESTWINDS DR NE,44 ST NE,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-113.9704251637621 51.10012468735926)
210 AV SW,MACLEOD TR SW & CREEKSTONE HL SW,,STOP X,4,PAINT,EW,POINT (-114.04600034725405 50.8648020777992)
MISSION RD SW,PARKHILL ST SW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.06429244259688 51.02267113087813)
17 AVE SW,10A ST SW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.0856050058268 51.03784360760738)
38 AVE SW,15 ST SW,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.09760139165479 51.02014919476406)
JOHN LAURIE BLVD NW,MCKNIGHT BV NW,CORRIDOR,RIGHT TURN,2,PAINT,SE,POINT (-114.08331315941534 51.09727770142955)
7  ST NW,MEMORIAL DR NW,SIGNALIZED,STOP LINE,2,,EW,POINT (-114.07766973202578 51.0557621875882)
45 ST SW,41 AVE SW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.15280769770811 51.0161274538827)
114 AVE SE,56 ST SE,SIGNALIZED,STOP LINE,4,PAINT,NSEW,POINT (-113.9519086383762 50.95055482308039)
58 AVE SW,2 ST SW,REGULAR,STOP LINE,1,PAINT,N,POINT (-114.06861471528461 51.001406108199156)
ROYAL BIRCH BV NW,ROYAL BIRCH ST NW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.22060314411287 51.145771638840316)
NEW BRIGHTON DR SE,NEW BRIGHTON HEATH SE,CORRIDOR,LADDER CROSSWALK,1,PAINT,E,POINT (-113.95401567171606 50.925224452153856)
SADDLETOWNE CIRCLE NE,MARTINDALE DR NE,RSM,RIGHT TURN,1,PAINT,W,POINT (-113.94790682684142 51.123803405014286)
14 AVE SE,40 ST SE,SCHOOL,LADDER CROSSWALK,1,PAINT,S,POINT (-113.97573768772921 51.040935302845774)
TUSCANY MEADOWS DR NW,TUSCANY MEADOWS CL,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.24397661800063 51.11451606164613)
SADDLEMONT BLVD NE,SADDLELAND DR NE,SCHOOL,STOP LINE,3,PAINT,NEW,POINT (-113.93920493047378 51.12958152470036)
EVEROAK DR SW,EVERMEADOW AVE SW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.1139670545839 50.91414497367979)
CHAPARRAL BLVD SE,CHAPARRAL DR SE,MULTIWAYS,RIGHT TURN,2,PAINT,EW,POINT (-114.02469412593969 50.88584191077565)
