CROSS_STREET_NAME1,CROSS_STREET_NAME2,CROSSWALK_TYPE,CROSSWALK_COMP,NUMBER_OF_CROSSWALKS,MATERIAL,DIRECTION,POINT
42 AVE SE,1 ST SE,SIGNALIZED,MULTI USE XWALK,2,PAINT,SW,POINT (-114.06122567782485 51.015971187664924)
CANTRELL DR SW,130 AVE SW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.07078471117862 50.93628047030241)
EDGEVALLEY WAY NW,AT 37,MID BLOCK,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.14554509149022 51.13189681324251)
52 ST NE,MARLBOURGH DR NE,SIGNALIZED,STOP LINE,3,PAINT,NSW,POINT (-113.95833652860061 51.060012740740554)
CROWCHILD TR SW,GLENMORE TR SW TRANSIT WAY,RSM,STOP LINE,1,PAINT,S,POINT (-114.11622882191863 50.99946351978761)
COUNTRY HILLS BLVD NW,SARCEE TR NW,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-114.16436640515948 51.13767773386006)
MAYLAND DR NE,MACKID RD NE,SCHOOL,LADDER CROSSWALK,2,PAINT,NE,POINT (-114.01207562747454 51.06387091108695)
VALIANT DR NW,VAUXHALL CR  NW,SCHOOL,LADDER CROSSWALK,1,PAINT,E,POINT (-114.14862176763542 51.09072976192089)
GRAFTON DR SW,GOVERNOR DR SW,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-114.14739515401696 51.01521523246087)
FAIRMOUNT DR SE,96 AVE SE,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.05884538059554 50.96668403094869)
CHAPALA DR SE,CHAPALA CR SE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-114.0299439235818 50.88358788830629)
9 ST NW,20 AV NW,CORRIDOR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.08311889578454 51.07054574735385)
RICHMOND RD SW,STEWART GREEN SW,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-114.17098060276132 51.017195723644626)
10 ST NW,3 AVE NW,SIGNALIZED,STOP LINE,3,MMA,NSE,POINT (-114.0859239899018 51.055617519358236)
TEMPLE DR NE,60 ST NE,SCHOOL,LADDER CROSSWALK,3,PAINT,SEW,POINT (-113.94675077997749 51.084906105507734)
SHAWINIGAN DR SW,SHAWBROOKE DR SW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.08720114837692 50.90628170253316)
24 AVE NW,MCLAURIN ST NW & WEST CAMPUS PL NW,SIGNAL,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.1444260567173 51.07402287703442)
32 AVE NE,AT SPRING GARDENS CITY YARDS,RSM,STOP LINE,1,PAINT,E,POINT (-114.04680106950724 51.08707804488488)
DEER RIDGE DR SE,137 AVE SE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-114.01662490558519 50.93028039239563)
10 ST NW,SAIT WAY NW,RSM,RIGHT TURN,2,PAINT,SW,POINT (-114.08580257190384 51.06171309643835)
SILVERADO BLVD SW,SILVERADO TERRACE SW,SCHOOL,LADDER CROSSWALK,2,PAINT,SW,POINT (-114.08210941273526 50.88655136058005)
26 AVE SE,36 ST SE,SIGNALIZED,RIGHT TURN,1,PAINT,E,POINT (-113.98159556793199 51.03051680754185)
6 AVE SW,4 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.07148045263366 51.047690388879715)
26 AVE NE,3400 BLOCK,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.98520830834407 51.07784881776143)
SAGE HILL GA NW,130M WEST OF 37 ST NW,SIGNALIZED,STOP LINE,3,PAINT,SEW,POINT (-114.14323992350124 51.170775998551015)
8 AVE SW,5 ST SW,DOWNTOWN,STOP LINE,4,MMA,NSEW,POINT (-114.07389250132842 51.04586217185028)
LAKEVIEW DR SW,63 AVE SW,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.13214690286442 50.99637597344071)
EDGEPARK BLVD NW,EDGEBYNE CR NW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.15316848482367 51.12673839178134)
26 AVE NE,38 ST NE,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-113.97806223665802 51.077880162348826)
14 AVE SW,15 ST SW,SCHOOL,STOP LINE,4,PAINT,NSEW,POINT (-114.09696071915774 51.04048894234613)
10 AVE SW,19 ST SW,DOWNTOWN,STOP LINE,2,PAINT,EW,POINT (-114.10660587014212 51.044538067987745)
SHAGANAPPI TR NW,NOLAN HILL GA NW,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.16012630079979 51.180074399099134)
FALCONRIDGE BLVD NE,FALWORTH RD,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.95624438743627 51.10296053545688)
53 ST NW,DALHOUSIE DR NW,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.15627425666271 51.1134346042012)
NORTHLAND DR NW,NORTHMOUNT DR NW,SIGNAL,LADDER CROSSWALK,4,PAINT,NSEW,POINT (-114.1413221043221 51.096029216460494)
SPRUCE DR SW,WHITE OAK CR SW,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.15529817135997 51.05234431255515)
4 ST NW,40 AVE NW,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-114.07159636652369 51.08740820608686)
12 ST NE,CENTRE AVE,SCHOOL,LADDER CROSSWALK,1,PAINT,S,POINT (-114.0337480921977 51.052359092973646)
COUNTRY VILLAGE LI NE,COUNTRY HILLS VILLAGE WY NE,MID BLOCK,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.06992529409932 51.15780398760086)
11 AVE SW,10 ST SW,DOWNTOWN,STOP LINE,3,MMA,NSE,POINT (-114.08638546068352 51.04303749944549)
3 AVE SW,5 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.07352682105919 51.050596538582845)
SPILLER RD SE,25 AV SE,SIGNAL,STOP X,1,,E,POINT (-114.04999749912417 51.02966213279126)
BEARSPAW DAM RD NW,SOUTH OF SOCCER CENTRE (RRXING),RSM,STOP LINE,4,PAINT,EW,POINT (-114.25293972571288 51.104024669076374)
40 AVE NW,33 ST NW,SIGNALIZED,REGULAR CROSSWALK,3,PAINT,NSE,POINT (-114.13639276197242 51.0876953137144)
11 ST SE,21 AVE SE,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.03678103651163 51.034578611012584)
19 ST NW,150 M NORTH OF CANMORE RD NW,MIDBLOCK,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.1063073689516 51.079026409010076)
EDGEPARK BLVD NW,EDGEBURN CR NW,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-114.15790957924634 51.13407260100525)
CENTRE ST N,23 AVE N,CORRIDOR,LADDER CROSSWALK,1,PAINT,N,POINT (-114.06252623513248 51.07331601408077)
MCKNIGHT BLVD NE,47 ST NE,SIGNAL,STOP LINE,3,PAINT,NEW,POINT (-113.96594574474773 51.09607201992501)
KENSINGTON CR NW,at 1167,MID BLOCK,PARKING STALLS,65,PAINT,NSEW,POINT (-114.08958781584339 51.05218017020821)
7 AVE SW,4 ST SW,DOWNTOWN,STOP LINE,3,MMA,SEW,POINT (-114.0714403700019 51.04675269907674)
14 AV SW,CENTRE ST S,RSM,STOP LINE,1,MMA,E,POINT (-114.06345636924635 51.0395231394516)
DEERVIEW DR SE,S. OF 200 DEERVIEW CT,MIDBLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.02082733146507 50.92818360997726)
LEGACY GATE,LEGACY CIRCLE,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.01731177933411 50.86086689369004)
BRIDLERIDGE WAY SW,BRIDLEGLEN MR SW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.11044697322774 50.90562932703246)
78 AVE SE,MACLEOD TR,RSM,STOP LINE,2,PAINT,NE,POINT (-114.0721680419015 50.9832178257924)
SETON WAY SE,212 AVE,RSM,RIGHT TURN,1,PAINT,W,POINT (-113.95185879720951 50.86322579640965)
52 ST SE,8 AVE SE,SIGNAL,RIGHT TURN,3,PAINT,NSW,POINT (-113.95820504315044 51.045195762230875)
CHAPARRAL VALLEY DR SE,CHAPARRAL VALLEY SQUARE SE,RSM,REGULAR CROSSWALK,3,PAINT,SEW,POINT (-114.0152980579433 50.88592646444323)
17 AVE SW,7 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.07937235063918 51.037821874305685)
CRANSTON GATE SE,CRANARCH PL,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-113.96937347759668 50.87460986432897)
11 AVE SW,18 ST SW,RSM,REGULAR CROSSWALK,2,PAINT,SN,POINT (-114.10410918964948 51.04359037123157)
53 ST NW,CROWCHILD TR NW,SIGNALIZED,STOP LINE,3,PAINT,NSW,POINT (-114.16558538455824 51.10465872392409)
SETON WAY SE,SETON CR,SIGNALIZED,RIGHT TURN,4,PAINT,NSEW,POINT (-113.95733686153562 50.87689297415394)
BOW TR SW,26 ST SW,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.12366281709166 51.04155597741982)
ROCKY RIDGE BLVD NW,ROCKY RIDGE HEATH NW,RSM,REGULAR CROSSWALK,2,PAINT,EW,POINT (-114.24580091975375 51.145408646663675)
21 AVE SW,17 A ST SW,MULTIWAY STOP,STOP LINE,4,,NSEW,POINT (-114.10324214523462 51.03495912381747)
EVANSTON VIEW NW,EVANSBROOKE LINK NW,SCHOOL,LADDER CROSSWALK,1,MMA,E,POINT (-114.12023405327052 51.16467621259094)
ELBOW DR SW,HARCOURT RD SW,CORRIDOR,LADDER CROSSWALK,3,PAINT,SEW,POINT (-114.08385441842134 50.97673056147559)
52 ST SE,28 AVE SE,SIGNALIZED,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-113.95854121466948 51.02815401238301)
MAHOGANY WAY SE,MARQUIS COMMON SE,SCHOOL,LADDER CROSSWALK,1,PAINT,S,POINT (-113.92529010919529 50.90455914721797)
HADDON RD SW,86 AVE SW,CORRIDOR,LADDER CROSSWALK,1,PAINT,N,POINT (-114.07737469959739 50.97588232593966)
HIDDEN CREEK BLVD NW,HIDDEN CREEK WAY NW,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.10088297055114 51.16002495648621)
GARRISON SQUARE SW,GARRISON GATE SW,REGULAR,REGULAR CROSSWALK,2,PAINT,NE,POINT (-114.11449915961289 51.02173908537678)
44 ST SE,80M SOUTH OF 54 AVE SE AT RRXING,RSM,STOP LINE,4,PAINT,NS,POINT (-113.97027469796893 51.002951743085475)
HARVEST HILLS DR NE,HARVEST LAKE DR NE,RSM,REGULAR CROSSWALK,2,PAINT,EW,POINT (-114.04934285712062 51.14632758788379)
MEMORIAL DR NE,ABBEYDALE DR NE,RSM,RIGHT TURN,1,PAINT,S,POINT (-113.93124397166521 51.05241329351488)
20 ST SW,42 AVE SW,RSM,REGULAR CROSSWALK,3,PAINT,SEW,POINT (-114.10923561519219 51.01605767610202)
52 ST SE,MARKET ST SE,RSM,REGULAR CROSSWALK,1,PAINT,W,POINT (-113.94022033279786 50.88220940916442)
LINDEN DR SW,WEST OF LIVINGSTON DR SW,MIDBLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.13012428577491 50.99193918209616)
AUBURN SPRINGS BLVD SE,AUBURN CREST PARK SE,SCHOOL,LADDER CROSSWALK,2,PAINT,NE,POINT (-113.94862859078353 50.887972132251655)
19 AVE SE,38 ST SE,RSM,STOP LINE,2,PAINT,NS,POINT (-113.97869160116772 51.0362806843284)
26 AVE NE,RUNDLESON WY NE,REGULAR,LADDER CROSSWALK,2,PAINT,EW,POINT (-113.97155473643598 51.07794818113291)
PALLISER DR SW,PUMPHILL GATE SW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.1022427337937 50.96324577285636)
46 ST SE,BETWEEN 61 AVE AND 54 AVE SE,RSM,"""X"" RRXING",2,PAINT,NS,POINT (-113.96726472587768 50.99996965828383)
40 AVE NW,40 ST NW,CORRIDOR,STOP LINE,1,PAINT,N,POINT (-114.14726887557205 51.08828419526223)
52 ST NE,16 AVE NE,MIDBLOCK,STOP LINE,3,PAINT,NSE,POINT (-113.95869863992095 51.068094400665586)
9 AVE SE,3 ST SE,DOWNTOWN,REGULAR CROSSWALK,3,MMA,NEW,POINT (-114.05573097278928 51.04439869053938)
12 AVE SW,10 ST SW,SIGNALIZED,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.08645311552822 51.0420862415916)
6 ST SE,AVONLEA PL SE,REGULAR,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.04838131546482 50.973340266798814)
COUNCIL WAY SW,CARLETON ST SW,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-114.09047917181755 51.02411526446403)
11 AVE SW,1 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.0657233119366 51.04243236803468)
SHAWNEE DR SW,SHAWNEE CR,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.08126761696566 50.92613873091499)
8 AVE NE,REGAL CR NE,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.03679148532781 51.05961930311827)
MARTINDALE BLVD NE,MARTINBROOK RD  NE,SCHOOL,LADDER CROSSWALK,2,PAINT,NE,POINT (-113.95910723435942 51.11432500661444)
REDSTONE ST NE,REDSTONE DR,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.96202229659342 51.168377898146915)
SHAWVILLE WY SE,SHAWVILLE LI SE,RSM,REGULAR CROSSWALK,2,PAINT,SW,POINT (-114.06633614342245 50.89970111325091)
68 ST NE,22 AVE NE,SIGNAL,RIGHT TURN,2,PAINT,EW,POINT (-113.93507593142327 51.07261440652061)
6 ST NW,17 AVE NW,MULTIWAY STOP,STOP LINE,4,PAINT,NSEW,POINT (-114.0764550344461 51.06785529046735)
BOWNESS RD NW,79 ST NW,MID BLOCK,,2,PAINT,EW,POINT (-114.2020013004019 51.088948212910694)
14 AVE SE,39 ST SE,SCHOOL,LADDER CROSSWALK,1,PAINT,W,POINT (-113.97720768576573 51.0409263069645)
LAKE SYLVAN DR SE,LAKE CHRISTINA WAY SE,SCHOOL,LADDER CROSSWALK,1,PAINT,E,POINT (-114.0409108449694 50.94313979180432)
MIDRIDGE DR SE,MIDCREST CR SE/NORTHLEG,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.06028560406028 50.919505445337045)
17 AVE SW,33 ST SW,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.1354479729733 51.03781213947483)
SOUTHLAND DR SW,BROOKPARK BLVD SW,CORRIDOR,STOP LINE,2,PAINT,NS,POINT (-114.10943151334901 50.96133410208059)
MCKENZIE TOWNE BLVD SE,INVERNESS GATE SE,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.96454690091542 50.916119675790355)
SACRAMENTO DR SW,7 ST SW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.08163278626016 50.95309569904122)
17 AVE SW,ASPEN STONE BLVD SW,SIGNALIZED,RIGHT TURN,2,PAINT,NS,POINT (-114.21682427243144 51.0378504877176)
17 AVE SE,1 ST SE,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.0611212895358 51.03783055445666)
EVERSYDE CL SW,EVERSYDE CL SW,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.10703731138432 50.91621340521612)
ZOO RD NE,MEMORIAL DR,SIGNALIZED,REGULAR CROSSWALK,1,MMA,S,POINT (-114.03617167901518 51.04764449148128)
SUNMILLS DR SE,SUNWOOD WAY,REGULAR,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.03498916317493 50.89852064335378)
ASPEN SUMIT DR SW,ASPEN GLEN WAY SW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.20353042396496 51.03931615436345)
FRONT ST SE,SETON SQUARE SE,RSM,REGULAR CROSSWALK,2,PAINT,EW,POINT (-113.9522352588814 50.880762425172016)
18 ST SE,76 AVE SE,SIGNALIZED,RIGHT TURN,1,PAINT,S,POINT (-114.0158609703291 50.98504868657121)
45 ST SW,8 AVE SW,SCHOOL,LADDER CROSSWALK,4,PAINT,NSEW,POINT (-114.15265912004085 51.045065499907786)
84 ST SE,25 M S OF 50 AVE SE,RRXING,"""X"" RRXING",2,PAINT,NS,POINT (-113.91191504656867 51.00852702755964)
CANYON MEADOWS DR SE,ACADIA DR SE,SIGNAL,RIGHT TURN,1,PAINT,N,POINT (-114.04865997532721 50.929821025298935)
10 ST SW,34 AVE SW,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.08805485920138 51.023282838014744)
37 ST SW,30 AVE SW,CORRIDOR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-114.14111294434896 51.02693818967213)
COUNTRY HILLS BLVD NW,EDGERIDGE GATE NW,OSM,RIGHT TURN,1,PAINT,S,POINT (-114.14569793864291 51.13852641015231)
TWELVE MILE COULEE RD NW,CROWCHILD TR NW,SIGNAL,REGULAR CROSSWALK,1,,E,POINT (-114.2569910226268 51.14343519738945)
SCENIC ACRES PARADE NW,KISS AND RIDE ENTRANCE,MID BLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.20773499290928 51.12231847282928)
EVERRIDGE DR SW,EVERWOODS GATE,RSM,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.12398684912108 50.917445043989844)
KINCORA GLEN RISE NW,AT 108,MID BLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.1384751854209 51.16307467517641)
BOWNESS RD NW,47 ST NW,REGULAR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-114.16216984527831 51.07386035467095)
OAKWOOD DR SW,S OF OAKHILL DR SW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.126231962345 50.967007032910246)
CROWFOOT CRESCENT NW,CROWFOOT RD NW,SIGNAL,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.19795987712605 51.12660908381165)
COUNTRY HILLS BLVD NE,SKYVIEW CIRCLE NE,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.95247249428799 51.15429980701853)
17 AVE SE,41 ST SE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-113.97426186675104 51.03784861922385)
MEMORIAL DR NE,MARLBOROUGH WAY NE,SIGNAL,RIGHT TURN,2,PAINT,NW,POINT (-113.97693609927339 51.052633266258006)
80 AVE NE,40 ST NE,RSM,RIGHT TURN,2,PAINT,NS,POINT (-113.97619837409829 51.125280563039986)
ACADEMY DR SE,7 ST SE,SCHOOL,LADDER CROSSWALK,1,MMA,E,POINT (-114.04518836222886 50.96688132405812)
20A ST SE,LYNNWOOD DR SE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-114.01016525257347 50.99320348518314)
WESTVIEW DR SW,49 ST SW,REGULAR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.15754327832951 51.048301945730806)
SHAGANAPPI TR NW,BOWNESS RD NW,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-114.14908173053855 51.0634045811826)
OGDEN RD SE,78 AVE SE,REGULAR,LADDER CROSSWALK,1,PAINT,S,POINT (-113.99879696329262 50.98321573709997)
44 ST SE,BETWEEN 58 AVE AND 61 AVE SE,RSM,STOP LINE,4,PAINT,NS,POINT (-113.97010958996503 50.99996952531826)
MARTINDALE DR NE,MARTINDALE CROSSING DR NE,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-113.95376473196458 51.11879779070066)
45 ST SW,IN BTW 4328 AND 4504,MID BLOCK,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.15280416469362 51.01418427143362)
REDSTONE ST NE,REDSTONE PLAZA NE,RSM,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.96191121970749 51.17095233692992)
48 ST SE,20 AVE SE,REGULAR,REGULAR CROSSWALK,2,PAINT,SE,POINT (-113.96435256082867 51.03552481685477)
43 AVE NE,LAGUNA WAY,ELDERLY,REGULAR CROSSWALK,1,PAINT,N,POINT (-113.93335052339613 51.091679803960346)
MACLEOD TR S,58 AVE SE,SIGNAL,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.07158081881254 51.001387896251046)
8 AVE SE,47 ST SE,CORRIDOR,LADDER CROSSWALK,1,PAINT,W,POINT (-113.96569539804747 51.045165380974396)
BRENTWOOD RD NW,AT 3830,CORRIDOR,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.13024980802942 51.086680271023965)
CROWCHILD TR SW,GLENMORE TR SW,RSM,STOP LINE,1,PAINT,N,POINT (-114.11794873385948 50.99879589508577)
SYMONS VALLEY PARKWAY NW,230M NORTH OF EVANSTON DR NW,SIGNALIZED,STOP LINE,3,PAINT,NSW,POINT (-114.10729345917571 51.175415266381655)
ON ZOO RD S OF BAINES B,S OF MEMORIAL DR,CORRIDOR,LADDER CROSSWALK,1,MMA,MID,POINT (-114.03545032508734 51.04590071741235)
144 AVE NW,CARRINGTON BLVD NW,RSM,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.09008680220036 51.18406654938202)
PANATELLA HI NW,PANATELLA RI NW,RSM,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.08637851178608 51.16670338260858)
ELBOW DR SW,36 AVE SW,REGULAR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.07781701645342 51.0216399220201)
BOWNESS RD NW,48 ST NW,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.16366487832806 51.075025283718304)
10 ST NW,23 AVE NW,CORRIDOR,REGULAR CROSSWALK,2,MMA,EW,POINT (-114.08457007740434 51.07321254270133)
BARLOW TR NE,37 AVE NE,SIGNAL,RIGHT TURN,4,PAINT,NSEW,POINT (-114.00171104898517 51.086695674662984)
29 ST NW,HOSPITAL DR NW,SIGNAL,RIGHT TURN,1,MMA,S,POINT (-114.12929159460981 51.0663748756735)
9 AVE SW,81 ST SW,RSM,LADDER CROSSWALK,1,PAINT,E,POINT (-114.20506552462533 51.059666476238114)
44 AVE NE,40 ST NE,MULTIWAYS,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-113.97636460503716 51.091886553511074)
COVENTRY HILLS WAY NE,COVEPARK CL NE,REGULAR,LADDER CROSSWALK,1,MMA,N,POINT (-114.05834849239734 51.164385598535155)
,,MID BLOCK,LADDER CROSSWALK,1,PAINT,MID,POINT (-113.93517850956339 51.1297351755869)
LAGUNA WY NE,68 ST NE,RSM,REGULAR CROSSWALK,1,INLAY,E,POINT (-113.93507666982747 51.08413986544312)
SADDLEHORN DR NE,SADDLEMEAD GR NE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-113.94290200163665 51.129425827291364)
FLANDERS AVE SW,AMIENS RD SW,RSM,LADDER CROSSWALK,2,PAINT,SE,POINT (-114.11491845902438 51.01604782146576)
COUNTRY HILLS BLVD NW,COUNTRY HILLS DR NW,SIGNAL,RIGHT TURN,1,PAINT,S,POINT (-114.07734629144007 51.14752055177194)
SYMONS VALLEY RD NW,SAGE MEADOWS PARK NW,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.1332092206531 51.178329976352586)
SCENIC ACRES PARADE NW,CROWCHILD TR,CORRIDOR,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.20647343397334 51.1211337921902)
CRESCENT BLVD SW,LANSDOWNE AVE SW,CORRIDOR,LADDER CROSSWALK,1,PAINT,N,POINT (-114.07485360041787 51.014196976513134)
HAMPTONS BLVD NW,HAMPTONS GROVE NW,REGULAR,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.15538144813642 51.14444126649883)
5 ST NW,24 AVE NW,SCHOOL,STOP LINE,1,PAINT,N,POINT (-114.07400560709297 51.07426747323278)
44 AVE NW,HARTFORD RD NW,SCHOOL,LADDER CROSSWALK,1,PAINT,E,POINT (-114.07829210795211 51.09346352575398)
NOSE HILL DR NW,HASKAYNE DR NW,RSM,REGULAR CROSSWALK,3,PAINT,NEW,POINT (-114.26875771159933 51.10809816284247)
40 AVE NW,HUDSON RD NW,REGULAR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-114.07736629386126 51.0886326188022)
14 AVE NW,14 ST NW,SIGNAL,REGULAR CROSSWALK,3,PAINT,NSW,POINT (-114.09543446015259 51.06440634536417)
40 ST SE,150M S OF 64 AVE AT RRXING,MID BLOCK,"""X"" RRXING",2,PAINT,NS,POINT (-113.97656340041107 50.99512820929573)
26 ST SE,ABOUT 200M SOUTH OF,CORRIDOR,LADDER CROSSWALK,1,PAINT,MID,POINT (-113.99595389101843 51.02729333321977)
SHAWVILLE GATE SE,EAST LRT PARKING LOT ENTRANCE,SIGNALIZED,REGULAR CROSSWALK,1,PAINT,MID,POINT (-114.0673964671148 50.89858088202509)
CRANSTON DR SE,CRANFIELD PARK SE,REGULAR,REGULAR CROSSWALK,2,PAINT,EW,POINT (-113.97949471757289 50.89231415452813)
BEDDINGTON BLVD NW,BERMUDA DR NW,SIGNAL,RIGHT TURN,2,PAINT,NS,POINT (-114.07716916975099 51.12737825495827)
GLENMORE TR SE,68 ST SE,SIGNALIZED,STOP LINE,4,PAINT,NSEW,POINT (-113.93463489346821 50.97953336764366)
CROWFOOT CRESCENT NW,100 CROWFOOT GATE NW,SIGNAL,REGULAR CROSSWALK,4,MMA,NSEW,POINT (-114.19809227142089 51.12785419664962)
1 ST NW,8 AVE NW,MULTIWAYS,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.06501805958987 51.05978427002637)
CRESCENT RD NW,6A ST NW,SPEED TABLE,REGULAR CROSSWALK,1,PAINT,W,POINT (-114.07710904974724 51.06220535014915)
54 ST NW,DALHOUSIE DR NW,CORRIDOR,LADDER CROSSWALK,1,PAINT,W,POINT (-114.16448277838434 51.1089948989462)
HAWKWOOD DR NW,HAWKVILLE CL NW,REGULAR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.18310025521015 51.13398594566547)
11 AVE SW,12 ST SW,SIGNALIZED,STOP LINE,3,MMA,NSE,POINT (-114.09130111729118 51.04317381758604)
COVENTRY HILLS WAY NE,150M NORTH OF COVEPARK SQ NE,SCHOOL,LADDER CROSSWALK,1,PAINT,MID,POINT (-114.06218517323383 51.167276863660504)
14 AVE SW,5 ST SW,DOWNTOWN,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-114.07427942861558 51.039849148742604)
5 AVE NW,11A ST NW,RSM,REGULAR CROSSWALK,1,PAINT,E,POINT (-114.09027982745863 51.05708653621694)
SETON BLVD SE,AUBURN BAY GATE SE,SIGNALIZED,REGULAR CROSSWALK,4,PAINT,NSEW,POINT (-113.95736999667287 50.88249769600599)
COUNTRY HILLS BLVD NW,BEDDINGTON TR NW,SIGNALIZED,REGULAR CROSSWALK,1,PAINT,N,POINT (-114.09256448375882 51.143853393796945)
ABBEYDALE DR NE,ABINGER RD NE,SCHOOL,LADDER CROSSWALK,1,PAINT,N,POINT (-113.92983197343523 51.05551535341039)
MILLRISE DR SW,MILLRISE WAY,REGULAR,LADDER CROSSWALK,1,PAINT,E,POINT (-114.08171015131389 50.91753398409357)
HAWKWOOD DR NW,HAWKSIDE RD NW,REGULAR,REGULAR CROSSWALK,2,PAINT,NS,POINT (-114.18378081879467 51.12863168029871)
BERMUDA DR NW,BERMUDA GATE NW,REGULAR,REGULAR CROSSWALK,1,PAINT,S,POINT (-114.07477542052047 51.130376307619116)
